id,category,subtype,korean_source,analytic_sentence,native_v2_1_sentence,design_notes
P9-PHR-029,phrasebook,eat-pst,밥 먹었어,나-악 밥 머-먹-칼-온.,나악 밥 머먹칸.,PST+TEL
P9-PHR-030,phrasebook,eat-neg,밥 안 먹어,나-악 밥 먹-아 느-몰-온.,나악 밥 먹아 느몰온.,NEG
P9-PHR-031,phrasebook,help,도와줘,돕-라.,돕라.,"돕-=help(고유어,신규). IMP"
P9-PHR-032,phrasebook,give-this,이거 줘,이 주-라.,이 주라.,IMP+ABS(theme)
P9-DLG-001,dialogue-v2,child-go,아이가 길로 간다,아이 길-레 느-가-온.,아이 길레 느가온.,v2 DLG_0007 번역. S=ABS. -레=ALL
P9-DLG-002,dialogue-v2,sleep,나는 잔다,나 느-자-온.,나 느자온.,v2 DLG_0009 번역. 자-=sleep
P9-DLG-003,dialogue-v2,not-cry,형이 안 운다,형 울-아 느-몰-온.,형 울아 느몰온.,v2 DLG_0011 번역. 울-=cry. NEG. 형=elder brother(불투명)
P9-DLG-004,dialogue-v2,child-sea,아이가 바다에 있다,아이 바다-테 느-있-닌-온.,아이 바다테 느있닌온.,v2 DLG_0017 번역. -테=LOC
P9-DLG-005,dialogue-v2,laugh-q,형이 웃느냐?,형 느-웃-언.,형 느웃언.,v2 DLG_0018 번역. 웃-=laugh. Y/N.Q
P9-DLG-006,dialogue-v2,school,영희가 학교에 있다,영희 알돈-테 느-있-닌-온.,영희 알돈테 느있닌온.,v2 DLG_0022 번역. 학교=알돈(파생). 영희=name
P9-DLG-007,dialogue-v2,friend-sleep,벗이 잔다,벗 느-자-온.,벗 느자온.,v2 DLG_0023 번역. 친구→벗(고어)
P9-DLG-008,dialogue-v2,not-see-q,길을 안 보느냐?,나-악 길 보-아 느-몰-언.,나악 길 보아 느몰언.,v2 DLG_0027 번역. NEG+Y/N.Q
P9-DLG-009,dialogue-v2,sibling-sleep-q,동생이 자느냐?,동생 느-자-언.,동생 느자언.,v2 DLG_0028 번역. 동생=sibling(불투명)
P9-DLG-010,dialogue-v2,mom-go-pst,에미가 갔다,에미 머-가-칼-온.,에미 머가칸.,v2 DLG_0034 번역. 에미=mother(고어)
P9-NAR-001,narrative-v2,sleep-room,산지인이 방에서 잤다,산지인 방-테 머-자-칼-온.,산지인 방테 머자칸.,v2 NAR_0001 번역. 산지인=mountaineer(불투명). 방=room(신규)
P9-NAR-002,narrative-v2,fall,사람이 떨어졌다,사람 머-떨어지-칼-온.,사람 머떨어지칸.,"v2 NAR_0004 번역. 떨어지-=fall(고유어,신규)"
P9-NAR-003,narrative-v2,see-mountain,연안인이 산을 보았다,연안인-악 산 머-보-칼-온.,연안인악 산 머보칸.,v2 NAR_0006 번역. A=ERG. 연안인=coast-dweller(불투명)
P9-NAR-004,narrative-v2,no-road,연안인이 길에 없었다,연안인 길-테=복.,연안인 길테복.,v2 NAR_0007 번역. LOC+EXIST.NEG
P9-NAR-005,narrative-v2,give-fire,학자가 불을 주었다,알파-악 불 머-주-칼-온.,알파악 불 머주칸.,v2 NAR_0008 번역. 학자→알파(know.PA). 불=fire
P9-NAR-006,narrative-v2,child-exist,아이가 있었다,아이 머-있-닌-온.,아이 머있닌온.,v2 NAR_0010 번역. PST+STAT
P9-NAR-007,narrative-v2,cry-pst,산지인이 울었다,산지인 머-울-칼-온.,산지인 머울칸.,v2 NAR_0021 번역
P9-NAR-008,narrative-v2,person-go-room,사람이 방으로 갔다,사람 방-레 머-가-칼-온.,사람 방레 머가칸.,v2 NAR_0026 번역. -레=ALL
P9-NAR-009,narrative-v2,scholar-come-city,학자가 도시에서 왔다,알파 도시-텐 머-오-칼-온.,알파 도시텐 머오칸.,v2 NAR_0028 번역. ABL -텐! 도시=city(불투명)
P9-NAR-010,narrative-v2,remember,영희가 기억한다,영희 느-너기-리-온.,영희 느너기련.,"v2 NAR_0033 번역. 기억하다→너기-(think/remember,고어)"
P9-NAR-011,narrative-v2,cry-pst2,영희가 울었다,영희 머-울-칼-온.,영희 머울칸.,v2 NAR_0036 번역
P9-NAR-012,narrative-v2,child-cry,아이가 울었다,아이 머-울-칼-온.,아이 머울칸.,v2 NAR_0040 번역
P9-FUN-001,functional-v2,wash,심사자가 씻는다,심사자 느-씻-루-온.,심사자 느씻룬.,v2 FUN_0003 번역. 심사자=불투명. INT -루-. -루-온→룬
P9-FUN-002,functional-v2,analyze,이론가가 모형을 분석한다,이론가-악 모형 느-분석하-리-온.,이론가악 모형 느분석하련.,v2 FUN_0010 번역. 분석하-=analyze(불투명). 모형=model(불투명)
P9-FUN-003,functional-v2,remember,연구자가 기억한다,연구자 느-너기-리-온.,연구자 느너기련.,v2 FUN_0011 번역. 연구자=불투명
P9-FUN-004,functional-v2,define,연구자가 관측을 정의한다,연구자-악 관측 느-정의하-리-온.,연구자악 관측 느정의하련.,v2 FUN_0015 번역. 정의하-/관측=불투명 학술 차용
P9-EVID-001,evidential,dir-see,비가 온다(직접 본다),비 느-오-드-온.,비 느오드온.,DIR -드- 첫 사용. EVID slot
P9-EVID-002,evidential,dir-pst,그림자를 보았다(직접),나 ㅿ울 머-보-칼-드-온.,나 ㅿ울 머보칼드온.,PST+TEL+DIR. -칼-드-온: 비융합(EVID개입)
P9-EVID-003,evidential,infer-fut,비가 올 것이다(추론),비 차-오-짐-온.,비 차오짐온.,INFER -짐-. FUT+INFER
P9-EVID-004,evidential,infer-pst,그 사람은 간 것 같다,그 사람 머-가-칼-짐-온.,그 사람 머가칼짐온.,PST+TEL+INFER
P9-EVID-005,evidential,dir-hear,소리를 들었다(직접),나 소리 머-듣-칼-드-온.,나 소리 머듣칼드온.,DIR+perception
P9-EVID-006,evidential,infer-know,아는 것 같다,나 그것 느-알-닌-짐-온.,나 그것 느알닌짐온.,STAT+INFER
P9-EVID-007,evidential,dir-hearsay,비가 온다고 들었다(직접 전해들음),비 느-오-온=맬 느-듣-드-온.,비 느오온맬 느듣드온.,hearsay+=맬 + DIR on matrix verb
P9-EVID-008,evidential,infer-rsn,추론이니까 말한다,나 느-너기-짐-논테 느-말-온.,나 느너기짐논테 느말온.,INFER in RSN clause
P9-ABL-001,ablative,basic,집에서 왔다,나 집-텐 머-오-칼-온.,나 집텐 머오칸.,ABL -텐 기본
P9-ABL-002,ablative,abl-all,집에서 학교로 갔다,나 집-텐 알돈-레 머-가-칼-온.,나 집텐 알돈레 머가칸.,ABL+ALL. 출발+도착
P9-ABL-003,ablative,abl-dream,꿈에서 그림자가 온다,ㅿ울 ㆍ름-텐 느-오-드-온.,ㅿ울 ㆍ름텐 느오드온.,ABL+DIR. 독자음소
P9-ABL-004,ablative,abl-sea,바다에서 파도가 온다,ㅸ올 바다-텐 느-오-온.,ㅸ올 바다텐 느오온.,ABL. 독자음소 ㅸ올
P9-ABL-005,ablative,abl-rel,학교에서 온 사람이 있다,[알돈-텐 느-오-마] 사람 느-있-닌-온.,알돈텐 느오마 사람 느있닌온.,ABL in REL clause
P9-ABL-006,ablative,abl-q,어디에서 왔느냐?,너 어디-텐 머-오-칼-연.,너 어디텐 머오칼연.,ABL+WH.Q
P9-SPOT-001,abs-spot,basic,바로 내가 안다,나-알 그것 느-알-닌-온.,나알 그것 느알닌온.,ABS.SPOT -알 첫 사용. EXP 초점
P9-SPOT-002,abs-spot,stim,바로 음악이 좋다,나 음악-알 느-좋-닌-온.,나 음악알 느좋닌온.,STIM 초점
P9-SPOT-003,abs-spot,object,바로 그 책을 보았다,나-악 알나ㅸ온-알 머-보-칼-온.,나악 알나ㅸ온알 머보칸.,O(ABS) 초점+파생어. ERG와 공존
P9-SPOT-004,abs-spot,contrast,나는 산이 아니라 바다가 좋다,나 산 느-좋-닌-칼라 바다-알 느-좋-닌-온.,나 산 느좋닌칼라 바다알 느좋닌온.,CONTR+ABS.SPOT on contrasted item
P10-SW-001,swadesh,burn,불이 나무를 태운다,불-악 나무 느-태우-리-온.,불악 나무 느태우련.,"태우-=burn(고유어,타동). A=ERG(불)"
P10-SW-002,swadesh,pull,아이가 줄을 당긴다,아이-악 줄 느-당기-리-온.,아이악 줄 느당기련.,"당기-=pull(고유어). 줄=rope(고유어,신규)"
P10-SW-003,swadesh,push,아이가 문을 민다,아이-악 문 느-밀-리-온.,아이악 문 느밀련.,밀-=push(고유어)
P10-SW-004,swadesh,throw,그가 돌을 던졌다,그-악 돌 머-던지-칼-온.,그악 돌 머던지칸.,던지-=throw(고유어). PST+TEL
P10-SW-005,swadesh,dig,사람이 흙을 팠다,사람-악 흙 머-파-칼-온.,사람악 흙 머파칸.,파-=dig(고유어)
P10-SW-006,swadesh,cut,에미가 열을 자른다,에미-악 열 느-자르-리-온.,에미악 열 느자르련.,자르-=cut(고유어). 열=fruit
P10-SW-007,swadesh,bite,즘생이 사람을 물었다,즘생-악 사람 머-물-칼-온.,즘생악 사람 머물칸.,물-=bite(고유어). 물-(ask)와 동음→문맥 구분
P10-SW-008,swadesh,blow,바람이 분다,바람 느-불-리-온.,바람 느불련.,"불-=blow(고유어,자동). 불(fire)과 동음→품사 구분"
P10-SW-009,swadesh,breathe,사람이 숨쉰다,사람 느-숨쉬-리-온.,사람 느숨쉬련.,숨쉬-=breathe(고유어)
P10-SW-010,swadesh,smell,꽃 냄새를 맡았다,나 꽃 냄새 머-맡-칼-드-온.,나 꽃 냄새 머맡칼드온.,"맡-=smell(고유어). 냄새=smell/odor(고유어,신규). DIR: 직접 지각"
P10-SW-011,swadesh,fight,두 사람이 싸웠다,둘 사람 머-싸우-칼-온.,둘 사람 머싸우칸.,"싸우-=fight(고유어,자동). 둘=two"
P10-SW-012,swadesh,tie,줄을 묶었다,나-악 줄 머-묶-칼-온.,나악 줄 머묶칸.,묶-=tie(고유어)
P10-SW-013,swadesh,say,에비가 아이에게 이르다,에비-악 아이-디 느-이르-온.,에비악 아이디 느이르온.,"이르-=say/tell(고어,타동). 말-=speak(자동)과 구분. A=ERG, addressee=FRC"
P10-SW-014,swadesh,sing,사람이 노래를 부른다,사람 부르나 느-부르-리-온.,사람 부르나 느부르련.,부르-=sing/call(고유어). 부르나=song(sing.NA 파생)
P10-SW-015,swadesh,all,모든 사람이 왔다,모든 사람 머-오-칼-온.,모든 사람 머오칸.,"모든=all(고유어,관형사)"
P10-SW-016,swadesh,many,사람이 많다,사람 느-많-닌-온.,사람 느많닌온.,"많-=many(고유어,stative,-닌-필수)"
P10-SW-017,swadesh,few,괴가 적다,괴 느-적-닌-온.,괴 느적닌온.,"적-=few(고유어,stative). 괴=fish"
P10-SW-018,swadesh,near,집이 가깝다,집 느-가깝-닌-온.,집 느가깝닌온.,"가깝-=near(고유어,stative)"
P10-SW-019,swadesh,far,산이 멀다,산 느-멀-닌-온.,산 느멀닌온.,"멀-=far(고유어,stative)"
P10-SW-020,swadesh,thick,어름이 두껍다,어름 느-두껍-닌-온.,어름 느두껍닌온.,두껍-=thick(고유어). 어름=ice
P10-SW-021,swadesh,thin,갗이 얇다,갗 느-얇-닌-온.,갗 느얇닌온.,얇-=thin(고유어). 갗=skin
P10-SW-022,swadesh,man,사내가 왔다,사내 머-오-칼-온.,사내 머오칸.,사내=man(고유어). 사람(person)과 구분
P10-SW-023,swadesh,woman,계집이 있다,겨집 느-있-닌-온.,겨집 느있닌온.,겨집=woman(고어). 현대 '계집'의 비하 뉘앙스 없는 원래 의미
P10-SW-024,swadesh,husband,지아비가 에미와 간다,지아비 에미-살라 느-가-온.,지아비 에미살라 느가온.,지아비=husband(고어). COM -살라
P10-SW-025,swadesh,wife,지어미가 아이를 보았다,지어미-악 아이 머-보-칼-온.,지어미악 아이 머보칸.,지어미=wife(고어). A=ERG
P10-SW-026,swadesh,egg,새가 알을 놓았다,새-악 알 머-놓-칼-온.,새악 알 머놓칸.,알=egg(고유어). -알(ABS.SPOT)과 동음이나 품사 다름
P10-SW-027,swadesh,feather,새 털이 가볍다,새 털 느-가볍-닌-온.,새 털 느가볍닌온.,털=hair/feather(고유어)
P10-SW-028,swadesh,tail,즘생 꼬리가 길다,즘생 꼬리 느-길-닌-온.,즘생 꼬리 느길닌온.,꼬리=tail(고유어). 길-=long(stative)
P10-SW-029,swadesh,horn,즘생 뿔이 크다,즘생 뿔 느-크-닌-온.,즘생 뿔 느크닌온.,뿔=horn(고유어)
P10-SW-030,swadesh,sand,바다-테 모래가 있다,바다-테 모래 느-있-닌-온.,바다테 모래 느있닌온.,모래=sand(고유어)
P10-SW-031,swadesh,ash,불눌이 있다,불눌 느-있-닌-온.,불눌 느있닌온.,불눌=ash(fire.SINK=불의 귀착). 파생!
P10-SW-032,swadesh,smoke,불ㅿ은이 크다,불ㅿ은 느-크-닌-온.,불ㅿ은 느크닌온.,불ㅿ은=smoke(fire.PATH=불의 통로). 파생!
P10-SW-033,swadesh,dust,흙 가루가 있다,흙 가루 느-있-닌-온.,흙 가루 느있닌온.,"가루=powder/dust(고유어,신규)"
P10-SW-034,swadesh,root-bark,나무ㅸ온이 흙에 있다,나무ㅸ온 흙-테 느-있-닌-온.,나무ㅸ온 흙테 느있닌온.,나무ㅸ온=root(tree.SOURCE). 파생! -테=LOC
P10-SW-035,swadesh,lake,물ㅸ앙이 산에 있다,물ㅸ앙 산-테 느-있-닌-온.,물ㅸ앙 산테 느있닌온.,물ㅸ앙=lake/pond(water.POOL). 파생! 이미 있으나 Swadesh 항목으로 등록
P10-SW-036,swadesh,round,돌이 둥글다,돌 느-둥글-닌-온.,돌 느둥글닌온.,"둥글-=round(고유어,stative)"
P10-SW-037,swadesh,sharp,이가 날카롭다,이 느-날카롭-닌-온.,이 느날카롭닌온.,날카롭-=sharp(고유어). 이=tooth
P10-SW-038,swadesh,right-left,오른 손과 왼 손이 다르다,오른 손 왼 손-살라 느-다르-닌-온.,오른 손 왼 손살라 느다르닌온.,"오른=right, 왼=left(고유어). COM+다르-"
P10-SW-039,swadesh,mud,비 온 뒤 진흙이 있다,비 머-오-칼-탄 진흙 느-있-닌-온.,비 머오칼탄 진흙 느있닌온.,진흙=mud(고유어). SEQ+존재
P10-SW-040,swadesh,rope-exist,줄이 길다,줄 느-길-닌-온.,줄 느길닌온.,줄=rope. 길-=long
SA-INT-001,voice-int,wash,나는 씻는다,나 느-씻-루-온.,나 느씻룬.,INT -루-. S=ABS. ERG 금지. 기존 확인
SA-INT-002,voice-int,wash-pst,나는 씻었다,나 머-씻-루-온.,나 머씻룬.,INT+PST. -루-온→룬 융합
SA-INT-004,voice-int,wash-neg-v2,나는 안 씻는다 (수정),씻-루-아 느-몰-온.,씻루아 느몰온.,INT NEG: -루-가 어근에 결합 후 conneg. 씻루-아+몰-. 이 형태 채택
SA-INT-005,voice-int,wash-cond,씻으면 간다,나 느-씻-루-살 느-가-온.,나 느씻루살 느가온.,INT+COND. 비종결에서도 -루- 유지
SA-INT-006,voice-int,groom,단장한다,나 느-다듬-루-온.,나 느다듬룬.,"다듬-=groom(고유어,신규). INT 등재 확장. -루-온→룬"
SA-REFL-001,voice-refl,hit-self,내가 자기를 쳤다,나악-머-치-칼-온.,나악머치칸.,REFL 편입. 나악(ERG)이 preverb 앞에 편입. ABS 부재→O=A
SA-REFL-002,voice-refl,see-self,내가 자기를 보았다,나악-머-보-칼-온.,나악머보칸.,REFL. 거울에서 자기를 봄
SA-REFL-003,voice-refl,hurt-self,그가 자기를 다쳤다,그악-머-상하-칼-온.,그악머상하칸.,"REFL. 상하-=hurt(고유어,신규,타동). 자해/사고"
SA-REFL-004,voice-refl,ask-self,내가 자기에게 물었다,나악-느-물-온.,나악느물온.,REFL. 자문(self-questioning)
SA-REFL-005,voice-refl,refl-q,자기를 쳤느냐?,너악-머-치-칼-언.,너악머치칼언.,REFL+Y/N.Q. -칼-언: Q→비융합
SA-REFL-006,voice-refl,refl-evid,자기를 다친 것 같다,그악-머-상하-칼-짐-온.,그악머상하칼짐온.,REFL+INFER. 6-slot 전개: 편입-PST-ROOT-TEL-INFER-DECL
SA-REFL-007,voice-refl,refl-rel,자기를 치는 사람이 있다,[나악-느-치-마] 사람 느-있-닌-온.,나악느치마 사람 느있닌온.,REFL in 관계절. 편입된 동사가 -마(ADN) 취함
SA-REFL-008,voice-refl,refl-rsn,자기를 다쳤으니까 울었다,그악-머-상하-칼-논테 머-울-칼-온.,그악머상하칼논테 머울칸.,REFL+RSN. 편입 동사에 비종결 결합
SA-REFL-009,voice-refl,refl-vs-int,씻다: 편입 vs INT,나악-느-씻-칼-온. / 나 느-씻-루-온.,나악느씻칸. / 나 느씻룬.,REFL(의도적 세척) vs INT(습관 자기관리). 뉘앙스 차이
SA-DIF-001,voice-dif,shine,해가 빛난다,해 느-빛-포-온.,해 느빛포온.,DIF -포-. 에너지 확산. S=ABS(방출원)
SA-DIF-002,voice-dif,radiate,불이 열을 뿜는다,불 느-놀-포-온.,불 느놀포온.,DIF. 놀=heat. 특정 O 없이 환경으로 확산
SA-DIF-003,voice-dif,blow,바람이 분다,바람 느-불-포-온.,바람 느불포온.,DIF. 불-=blow. 바람=wind
SA-DIF-004,voice-dif,sing-dif,사람이 노래한다(퍼뜨리듯),사람 느-부르-포-온.,사람 느부르포온.,DIF. 부르-=sing. 청중 없이 공간에 퍼뜨림
SA-DIF-006,voice-dif,dif-pst-fix,해가 빛났다 (수정),해 머-빛-칼-포-온.,해 머빛칼포온.,ASP(-칼-) → VOICE(-포-) → FINAL(-온). slot 순서 확정
SA-DIF-007,voice-dif,dif-evid,해가 빛나는 것을 직접 본다,해 느-빛-포-드-온.,해 느빛포드온.,DIF+DIR. VOICE→EVID→FINAL 순서
SA-DIF-008,voice-dif,dif-neg,해가 안 빛난다,해 빛-포-아 느-몰-온.,해 빛포아 느몰온.,"DIF+NEG. 빛포-가 단일 동사화, conneg 빛포-아. 잠정"
SA-RECIP-001,reciprocal,hit-each,두 사람이 서로 쳤다,둘 사람 서르 머-치-칼-온.,둘 사람 서르 머치칸.,서르=RECIP(고어). 부사. 복수 주어
SA-RECIP-002,reciprocal,help-each,아이들이 서로 돕는다,아이돌 서르 느-돕-리-온.,아이돌 서르 느돕련.,서르+복수(-돌). IPFV
SA-RECIP-003,reciprocal,see-each,그들이 서로 보았다,그돌 서르 머-보-칼-온.,그돌 서르 머보칸.,서르+3PL
SA-RECIP-004,reciprocal,give-each,둘이 서로 선물을 주었다,둘 사람 서르 주나 머-주-칼-온.,둘 사람 서르 주나 머주칸.,서르+주나(gift=give.NA 파생)
SA-DISC-001,discourse,therefore,비가 왔다. 그래서 안 갔다,비 머-오-칼-온. 글 나 가-아 느-몰-온.,비 머오칸. 글 나 가아 느몰온.,글=therefore. 담화 접속 첫 사용
SA-DISC-002,discourse,however,배고프다. 그런데 밥이 없다,나 느-고프-닌-온. 헌 밥=복.,나 느고프닌온. 헌 밥복.,헌=however
SA-DISC-003,discourse,moreover,비가 온다. 또한 바람이 분다,비 느-오-온. 되도 바람 느-불-포-온.,비 느오온. 되도 바람 느불포온.,되도=moreover. DIF 결합
SA-DISC-004,discourse,theref-rsn,그래서 갔다. 에미가 왔으니까,글 나 머-가-칼-온. 에미 머-오-칼-논테.,글 나 머가칸. 에미 머오칼논테.,글+standalone RSN
SA-DISC-005,discourse,however-q,그런데 왜 안 갔느냐?,헌 왜 가-아 느-몰-연.,헌 왜 가아 느몰연.,헌+WH.Q+NEG
SA-DISC-006,discourse,chain,배고프다. 그래서 밥을 먹었다. 그런데 아직 배고프다,나 느-고프-닌-온. 글 나-악 밥 머-먹-칼-온. 헌 아직 느-고프-닌-온.,나 느고프닌온. 글 나악 밥 머먹칸. 헌 아직 느고프닌온.,3문장 담화 연쇄
SA-QUANT-001,quantifier,all,모든 사람이 왔다,모든 사람 머-오-칼-온.,모든 사람 머오칸.,모든=all
SA-QUANT-002,quantifier,some,어떤 사람이 말한다,어떤 사람 느-말-온.,어떤 사람 느말온.,어떤=some
SA-QUANT-003,quantifier,any-neg,아무 사람도 없다,아무 사람=도=복.,아무 사람도복.,아무+도+EXIST.NEG. 부정 극어
SA-QUANT-004,quantifier,each,각 아이가 밥을 먹는다,낱 아이-악 밥 느-먹-온.,낱 아이악 밥 느먹온.,낱=each(고어). ERG
SA-QUANT-005,quantifier,all-rel,모든 오는 사람이 좋다,나 모든 [느-오-마] 사람 느-좋-닌-온.,나 모든 느오마 사람 느좋닌온.,모든+관계절
SA-QUANT-006,quantifier,any-cond,아무나 오면 말해라,아무 사람 느-오-살 말-라.,아무 사람 느오살 말라.,아무+COND+IMP
SA-CMP-001,comparison,more,나는 너보다 더 크다,나 너-테 더 느-크-닌-온.,나 너테 더 느크닌온.,더=more
SA-CMP-002,comparison,most,이 산이 가장 높다,이 산 한갓 느-높-닌-온.,이 산 한갓 느높닌온.,한갓=most(고어). 높-=high
SA-CMP-003,comparison,as-much,나는 너만큼 크다,나 너-살라=만 느-크-닌-온.,나 너살라만 느크닌온.,COM+만=as much as
SA-CMP-004,comparison,more-evid,그가 나보다 더 빠른 것 같다,그 나-테 더 느-빠르-닌-짐-온.,그 나테 더 느빠르닌짐온.,비교+INFER
SA-CMP-005,comparison,most-rel,가장 큰 나무가 있다,[한갓 느-크-닌-마] 나무 느-있-닌-온.,한갓 느크닌마 나무 느있닌온.,한갓+관계절
SA-AUX-001,auxiliary,prog,밥을 먹고 있다,나-악 밥 느-먹-탄 느-있-닌-온.,나악 밥 느먹탄 느있닌온.,V-탄 있-=진행/결과지속. 보조동사
SA-AUX-002,auxiliary,resultative,문을 열어 놓았다,나-악 문 머-열-칼-탄 느-놓-온.,나악 문 머열칼탄 느놓온.,V-탄 놓-=결과 보존
SA-AUX-003,auxiliary,try,먹어 보았다,나-악 밥 느-먹-탄 머-보-칼-온.,나악 밥 느먹탄 머보칸.,V-탄 보-=시행/시도
SA-AUX-004,auxiliary,prog-q,먹고 있느냐?,너-악 밥 느-먹-탄 느-있-닌-언.,너악 밥 느먹탄 느있닌언.,보조동사+Y/N.Q
SA-AUX-005,auxiliary,prog-neg,먹고 있지 않다,나-악 밥 먹-탄 있-아 느-몰-닌-온.,나악 밥 먹탄 있아 느몰닌온.,보조동사+NEG. 있-이 conneg
SA-AUX-006,auxiliary,try-rsn,먹어 봤으니까 안다,나-악 밥 느-먹-탄 머-보-칼-논테 느-알-닌-온.,나악 밥 느먹탄 머보칼논테 느알닌온.,보조동사+RSN
SA-CONC-001,concessive,basic,비가 오더라도 간다,비 느-오-살-칼라 나 느-가-온.,비 느오살칼라 나 느가온.,양보조건 -살-칼라. COND+CONTR 연쇄
SA-CONC-002,concessive,pst,왔더라도 먹지 못했다,그 머-오-살-칼라 먹-아 느-달-몰-온.,그 머오살칼라 먹아 느달몰온.,양보+NEG+ABIL. 반사실 양보
SA-CONC-003,concessive,evid,비가 올 것 같더라도 간다,비 차-오-짐-살-칼라 나 느-가-온.,비 차오짐살칼라 나 느가온.,INFER+양보조건
SA-CONC-004,concessive,with-disc,비가 온다. 그런데 비가 오더라도 간다,비 느-오-온. 헌 비 느-오-살-칼라 나 느-가-온.,비 느오온. 헌 비 느오살칼라 나 느가온.,담화접속+양보
SA-CMPLX-001,complex,refl-disc,자기를 다쳤다. 그래서 울었다,그악-머-상하-칼-온. 글 머-울-칼-온.,그악머상하칸. 글 머울칸.,REFL+담화접속
SA-CMPLX-002,complex,dif-rel,빛나는 해가 크다,[느-빛-포-마] 해 느-크-닌-온.,느빛포마 해 느크닌온.,DIF in 관계절
SA-CMPLX-003,complex,recip-conc,서로 치더라도 벗이다,둘 사람 서르 느-치-살-칼라 벗 느-닐-닌-온.,둘 사람 서르 느치살칼라 벗 느닐닌온.,RECIP+양보+copula
SA-CMPLX-004,complex,all-refl,모든 사람이 자기를 보았다,모든 사람악-머-보-칼-온.,모든 사람악머보칸.,모든+REFL편입. 관형사는 편입 밖에 위치
SA-CMPLX-005,complex,dif-abl,해에서부터 빛이 온다,빛 해-텐 느-오-온.,빛 해텐 느오온.,ABL. cf. DIF(해 느빛포온)와 다른 구문: 빛이 주어
SA-CMPLX-006,complex,aux-refl,자기를 씻어 보았다,나악-느-씻-탄 머-보-칼-온.,나악느씻탄 머보칸.,REFL+보조동사(시행). 편입+SEQ+보-
SA-CMPLX-007,complex,most-deriv,가장 큰 알나ㅸ온을 보았다,나-악 [한갓 느-크-닌-마] 알나ㅸ온 머-보-칼-온.,나악 한갓 느크닌마 알나ㅸ온 머보칸.,한갓+관계절+파생어(책). 전 체계 통합
SA-CMPLX-008,complex,disc-evid-abl,그래서 학교에서 왔을 것이다,글 알돈-텐 머-오-칼-짐-온.,글 알돈텐 머오칼짐온.,담화접속+ABL+INFER+파생어(알돈)
SA-CMPLX-009,complex,each-dif,각 별이 빛난다,낱 별 느-빛-포-온.,낱 별 느빛포온.,낱+DIF
SA-CMPLX-010,complex,some-refl-q,어떤 사람이 자기를 다쳤느냐?,어떤 사람악-머-상하-칼-언.,어떤 사람악머상하칼언.,어떤+REFL+Y/N.Q
SA-CMPLX-011,complex,full-6slot,해가 빛나는 것을 직접 보았다(추론 아닌 직접),나 [해 느-빛-칼-포-드-마] 때 머-보-칼-드-온.,나 해 느빛칼포드마 때 머보칼드온.,6-slot 전개: ASP-VOICE-EVID + 시간절 + 주절 DIR
SA-NARR-001,narrative,morning,아침에 일어났다,나 아침-테 머-일어나-칼-온.,나 아침테 머일어나칸.,시간+서사. 아침=morning
SA-NARR-002,narrative,wash-routine,씻고 밥을 먹었다,나 느-씻-루-탄 나-악 밥 머-먹-칼-온.,나 느씻루탄 나악 밥 머먹칸.,INT+SEQ+타동. A/S pivot: S(씻-)→A(먹-)
SA-NARR-003,narrative,go-school,학교에 갔다,나 알돈-레 머-가-칼-온.,나 알돈레 머가칸.,파생어+ALL
SA-NARR-004,narrative,teacher,교사가 가르쳤다,가르치파-악 알나 느-가르치-리-온.,가르치파악 알나 느가르치련.,"L1파생 2중(가르치파=teacher, 알나=knowledge)"
SA-NARR-005,narrative,friend,벗과 같이 먹었다,나-악 벗-살라 밥 머-먹-칼-온.,나악 벗살라 밥 머먹칸.,COM+고어(벗)
SA-NARR-006,narrative,evening,나조에 집에서 왔다,나 알돈-텐 집-레 나조-테 머-가-칼-온.,나 알돈텐 집레 나조테 머가칸.,ABL+ALL+시간. 나조=evening(고어)
SA-NARR-007,narrative,think,밤에 너겼다,나 밤-테 머-너기-칼-온.,나 밤테 머너기칸.,너기-=think(고어). 밤=night
SA-NARR-008,narrative,dream-come,꿈에서 그림자가 왔다,ㅿ울 ㆍ름-텐 머-오-칼-드-온.,ㅿ울 ㆍ름텐 머오칼드온.,ABL+DIR. 독자음소 집중
SA-NARR-009,narrative,not-afraid,두렵지 않았다. 그래서 밖에 갔다,두렵-아 느-몰-닌-온. 글 나 밖-레 머-가-칼-온.,두렵아 느몰닌온. 글 나 밖레 머가칸.,NEG+담화접속
SA-NARR-010,narrative,wave-hit,파도가 쳤다. 그런데 좋았다,ㅸ올-악 나 머-치-칼-온. 헌 느-좋-닌-온.,ㅸ올악 나 머치칸. 헌 느좋닌온.,담화접속(전환)+독자음소
SA-NARR-011,narrative,each-star,각 별이 빛났다. 모든 것이 밝았다,낱 별 머-빛-칼-포-온. 모든 것 느-밝-닌-온.,낱 별 머빛칼포온. 모든 것 느밝닌온.,낱+DIF+모든. ASP-VOICE 순서
SA-NARR-012,narrative,close,나는 산다,나 느-살-닌-온.,나 느살닌온.,서사 종결. Phase 4 반복
SB-ACT-001,daily-action,boil,물을 끓인다,나-악 물 느-끓이-리-온.,나악 물 느끓이련.,"끓이-=boil(고유어,타동). 끓이나=국/수프(boil.NA)"
SB-ACT-002,daily-action,roast,고기를 굽는다,나-악 고기 느-굽-리-온.,나악 고기 느굽련.,굽-=roast/grill(고유어)
